snapshot_id,concept_name,stock_id,yahoo_symbol,stock_name,market_suffix,holding_type,trade_date,source_url
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,1409,1409.TW,新纖,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,1597,1597.TW,直得,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,1784,1784.TWO,訊聯,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,2049,2049.TW,上銀,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,2312,2312.TW,金寶,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,2388,2388.TW,威盛,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,2395,2395.TW,研華,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,2455,2455.TW,全新,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3005,3005.TW,神基,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3011,3011.TW,今皓,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3450,3450.TW,聯鈞,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3504,3504.TW,揚明光,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3570,3570.TWO,大塚,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,3663,3663.TWO,鑫科,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,4722,4722.TW,國精化,TW,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,5371,5371.TWO,中光電,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,5450,5450.TWO,南良,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
yahoo_concept_2026-07-13_165142dd5d6a,3D列印,6791,6791.TWO,虎門科技,TWO,EQUITY,2026-07-13,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1
