snapshot_id,concept_name,source_url,reported_count,downloaded_count,max_trade_date
yahoo_concept_2026-07-14_7d0cc92593f6,3D列印,https://tw.stock.yahoo.com/class-quote?category=3D%E5%88%97%E5%8D%B0&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,19,19,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,3D感測,https://tw.stock.yahoo.com/class-quote?category=3D%E6%84%9F%E6%B8%AC&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,20,20,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,5G,https://tw.stock.yahoo.com/class-quote?category=5G&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,71,71,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,ADAS,https://tw.stock.yahoo.com/class-quote?category=ADAS&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,22,22,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,AI人工智慧,https://tw.stock.yahoo.com/class-quote?category=AI%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,61,61,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,AI理財機器人,https://tw.stock.yahoo.com/class-quote?category=AI%E7%90%86%E8%B2%A1%E6%A9%9F%E5%99%A8%E4%BA%BA&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,9,9,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,AirPods,https://tw.stock.yahoo.com/class-quote?category=AirPods&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,19,19,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,Amazon Go應用技術,https://tw.stock.yahoo.com/class-quote?category=Amazon%20Go%E6%87%89%E7%94%A8%E6%8A%80%E8%A1%93&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,18,18,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,Apple Pay,https://tw.stock.yahoo.com/class-quote?category=Apple%20Pay&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,17,17,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,Apple iTV,https://tw.stock.yahoo.com/class-quote?category=Apple%20iTV&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,22,22,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,Apple watch,https://tw.stock.yahoo.com/class-quote?category=Apple%20watch&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,21,21,2026-07-14
yahoo_concept_2026-07-14_7d0cc92593f6,FinTech,https://tw.stock.yahoo.com/class-quote?category=FinTech&categoryLabel=%E6%A6%82%E5%BF%B5%E8%82%A1,23,23,2026-07-14
